index,team_id,score,TeamCapture,NonTeamCapture,job_num,task_num,results_dir,num_rows,align_weight~t~1,autonomy~t~1,avoid_nonteam_weight~t~1,avoid_team_weight~t~1,centroid_weight~t~1,comms_range~t~1,fov_az~t~1,fov_el~t~1,goal_weight~t~1,max_pred_speed~t~1,max_speed~t~1,sphere_of_influence~t~1,motion_model~t~1,vel_max~t~1,motion_model~predator,pitch_rate_max~predator,turn_rate_max~predator,vel_max~predator,align_weight~t~2~predator,allow_prey_switching~t~2~predator,autonomy~t~2~predator,avoid_nonteam_weight~t~2~predator,avoid_team_weight~t~2~predator,capture_range~t~2~predator,centroid_weight~t~2~predator,comms_range~t~2~predator,max_pred_speed~t~2~predator,max_speed~t~2~predator,align_weight~t~3~predator,allow_prey_switching~t~3~predator,autonomy~t~3~predator,avoid_nonteam_weight~t~3~predator,avoid_team_weight~t~3~predator,capture_range~t~3~predator,centroid_weight~t~3~predator,comms_range~t~3~predator,max_pred_speed~t~3~predator,max_speed~t~3~predator
49,2,1.0,0.0,1.0,11073,39,/Users/lauraS/sample-data/2018-02-24_13-55-45_job_11073_task_39/,2.0,10.0311667036,Boids,46.7693356036,4.14308529363,30.4147201891,767,360,360,0.1,30,31,100,Unicycle,30,Unicycle,1.5,2,35,49.85807892,true,PredatorUnique,38.7517602693,30.5815770484,5,38.6391503595,413,23,16,37.4887318277,false,PredatorUnique,1.18730472283,5.17527195425,5,7.69008258844,550,18,10
50,3,1.0,0.0,1.0,11073,39,/Users/lauraS/sample-data/2018-02-24_13-55-45_job_11073_task_39/,2.0,10.0311667036,Boids,46.7693356036,4.14308529363,30.4147201891,767,360,360,0.1,30,31,100,Unicycle,30,Unicycle,1.5,2,35,49.85807892,true,PredatorUnique,38.7517602693,30.5815770484,5,38.6391503595,413,23,16,37.4887318277,false,PredatorUnique,1.18730472283,5.17527195425,5,7.69008258844,550,18,10
51,2,29.0,0.0,29.0,11073,4,/Users/lauraS/sample-data/2018-02-24_13-55-45_job_11073_task_4/,2.0,19.0489282399,Boids,22.5061766575,25.9573327436,41.0001082161,679,360,360,0.1,47,11,100,Unicycle,30,Unicycle,1.5,2,35,44.9404851083,true,PredatorUnique,9.96687954884,15.6180200504,5,5.80652268043,828,23,47,39.3068839176,false,PredatorUnique,23.2379687176,19.6140080078,5,22.5555264082,737,31,21
52,3,27.0,0.0,27.0,11073,4,/Users/lauraS/sample-data/2018-02-24_13-55-45_job_11073_task_4/,2.0,19.0489282399,Boids,22.5061766575,25.9573327436,41.0001082161,679,360,360,0.1,47,11,100,Unicycle,30,Unicycle,1.5,2,35,44.9404851083,true,PredatorUnique,9.96687954884,15.6180200504,5,5.80652268043,828,23,47,39.3068839176,false,PredatorUnique,23.2379687176,19.6140080078,5,22.5555264082,737,31,21
53,2,32.0,0.0,32.0,11073,40,/Users/lauraS/sample-data/2018-02-24_13-55-45_job_11073_task_40/,2.0,18.8155084302,Boids,10.8993812132,17.2526043087,22.5656589976,884,360,360,0.1,10,19,100,Unicycle,30,Unicycle,1.5,2,35,10.499102851,true,PredatorUnique,40.4064249923,9.32177015447,5,14.1022199626,944,33,22,7.00006860414,false,PredatorUnique,7.12253236029,6.18786269278,5,21.079107333,805,25,43
54,3,7.0,0.0,7.0,11073,40,/Users/lauraS/sample-data/2018-02-24_13-55-45_job_11073_task_40/,2.0,18.8155084302,Boids,10.8993812132,17.2526043087,22.5656589976,884,360,360,0.1,10,19,100,Unicycle,30,Unicycle,1.5,2,35,10.499102851,true,PredatorUnique,40.4064249923,9.32177015447,5,14.1022199626,944,33,22,7.00006860414,false,PredatorUnique,7.12253236029,6.18786269278,5,21.079107333,805,25,43
55,2,2.0,0.0,2.0,11073,41,/Users/lauraS/sample-data/2018-02-24_13-55-45_job_11073_task_41/,2.0,20.8818366684,Boids,29.4296880989,36.3998626365,20.3042692954,990,360,360,0.1,29,19,100,Unicycle,30,Unicycle,1.5,2,35,33.3815275891,true,PredatorUnique,30.9275381252,47.3922386012,5,9.73772670669,363,20,14,27.7376500982,false,PredatorUnique,20.6936687933,10.6981263408,5,49.1960035031,760,33,26
56,3,26.0,0.0,26.0,11073,41,/Users/lauraS/sample-data/2018-02-24_13-55-45_job_11073_task_41/,2.0,20.8818366684,Boids,29.4296880989,36.3998626365,20.3042692954,990,360,360,0.1,29,19,100,Unicycle,30,Unicycle,1.5,2,35,33.3815275891,true,PredatorUnique,30.9275381252,47.3922386012,5,9.73772670669,363,20,14,27.7376500982,false,PredatorUnique,20.6936687933,10.6981263408,5,49.1960035031,760,33,26
57,3,10.0,0.0,10.0,11073,44,/Users/lauraS/sample-data/2018-02-24_13-55-45_job_11073_task_44/,1.0,3.42836875133,Boids,35.9860138072,47.550354393,17.0015617078,443,360,360,0.1,39,29,100,Unicycle,30,Unicycle,1.5,2,35,40.8664019954,true,PredatorUnique,28.213142648,39.3535541894,5,30.7631501757,378,16,26,1.52451331978,false,PredatorUnique,18.7552110835,30.230553174,5,19.3141063896,919,46,17
58,2,19.0,0.0,19.0,11073,45,/Users/lauraS/sample-data/2018-02-24_13-55-45_job_11073_task_45/,2.0,12.4317343196,Boids,24.6118880344,7.11071552342,23.4937085158,117,360,360,0.1,20,40,100,Unicycle,30,Unicycle,1.5,2,35,26.1668220842,true,PredatorUnique,35.0918121683,6.27074589449,5,21.9041825069,331,49,43,18.0788011737,false,PredatorUnique,26.1658322168,35.7168695856,5,43.5105373508,104,27,25
