index,team_id,score,TeamCapture,NonTeamCapture,job_num,task_num,results_dir,num_rows,align_weight_t_1,autonomy_t_1,avoid_nonteam_weight_t_1,avoid_team_weight_t_1,centroid_weight_t_1,comms_range_t_1,fov_az_t_1,fov_el_t_1,goal_weight_t_1,max_speed_t_1,sphere_of_influence_t_1,motion_model_t_1,turn_rate_max_t_1,vel_max_t_1,motion_model_predator,pitch_rate_max_predator,turn_rate_max_predator,vel_max_predator,allow_prey_switching_t_2_predator,autonomy_t_2_predator,max_speed_t_2_predator
43,2,4.0,0.0,4.0,42260,31,2018-04-24_23-57-29_job_42260_task_31,2,0.5,Boids,10,1,1,200,360,360,0.1,25,100,Unicycle,0.25,25,Unicycle,1.5,0.5,30,false,Predator,30
44,1,0.0,0.0,0.0,42260,32,2018-04-24_23-57-29_job_42260_task_32,2,0.5,Boids,10,1,1,200,360,360,0.1,25,100,Unicycle,0.25,25,Unicycle,1.5,0.5,30,false,Predator,30
45,2,14.0,0.0,14.0,42260,32,2018-04-24_23-57-29_job_42260_task_32,2,0.5,Boids,10,1,1,200,360,360,0.1,25,100,Unicycle,0.25,25,Unicycle,1.5,0.5,30,false,Predator,30
46,1,0.0,0.0,0.0,42260,33,2018-04-24_23-57-29_job_42260_task_33,2,0.5,Boids,10,1,1,200,360,360,0.1,25,100,Unicycle,0.25,25,Unicycle,1.5,0.5,30,false,Predator,30
47,2,3.0,0.0,3.0,42260,33,2018-04-24_23-57-29_job_42260_task_33,2,0.5,Boids,10,1,1,200,360,360,0.1,25,100,Unicycle,0.25,25,Unicycle,1.5,0.5,30,false,Predator,30
48,1,0.0,0.0,0.0,42260,34,2018-04-24_23-57-29_job_42260_task_34,2,0.5,Boids,10,1,1,200,360,360,0.1,25,100,Unicycle,0.25,25,Unicycle,1.5,0.5,30,false,Predator,30
49,2,5.0,0.0,5.0,42260,34,2018-04-24_23-57-29_job_42260_task_34,2,0.5,Boids,10,1,1,200,360,360,0.1,25,100,Unicycle,0.25,25,Unicycle,1.5,0.5,30,false,Predator,30
50,1,0.0,0.0,0.0,42260,35,2018-04-24_23-57-29_job_42260_task_35,2,0.5,Boids,10,1,1,200,360,360,0.1,25,100,Unicycle,0.25,25,Unicycle,1.5,0.5,30,false,Predator,30
51,2,14.0,0.0,14.0,42260,35,2018-04-24_23-57-29_job_42260_task_35,2,0.5,Boids,10,1,1,200,360,360,0.1,25,100,Unicycle,0.25,25,Unicycle,1.5,0.5,30,false,Predator,30
52,1,0.0,0.0,0.0,42260,36,2018-04-24_23-57-29_job_42260_task_36,2,0.5,Boids,10,1,1,200,360,360,0.1,25,100,Unicycle,0.25,25,Unicycle,1.5,0.5,30,false,Predator,30
53,2,9.0,0.0,9.0,42260,36,2018-04-24_23-57-29_job_42260_task_36,2,0.5,Boids,10,1,1,200,360,360,0.1,25,100,Unicycle,0.25,25,Unicycle,1.5,0.5,30,false,Predator,30
54,1,0.0,0.0,0.0,42260,37,2018-04-24_23-57-29_job_42260_task_37,2,0.5,Boids,10,1,1,200,360,360,0.1,25,100,Unicycle,0.25,25,Unicycle,1.5,0.5,30,false,Predator,30
55,2,14.0,0.0,14.0,42260,37,2018-04-24_23-57-29_job_42260_task_37,2,0.5,Boids,10,1,1,200,360,360,0.1,25,100,Unicycle,0.25,25,Unicycle,1.5,0.5,30,false,Predator,30
56,1,0.0,0.0,0.0,42260,38,2018-04-24_23-57-29_job_42260_task_38,2,0.5,Boids,10,1,1,200,360,360,0.1,25,100,Unicycle,0.25,25,Unicycle,1.5,0.5,30,false,Predator,30
57,2,29.0,0.0,29.0,42260,38,2018-04-24_23-57-29_job_42260_task_38,2,0.5,Boids,10,1,1,200,360,360,0.1,25,100,Unicycle,0.25,25,Unicycle,1.5,0.5,30,false,Predator,30
58,1,0.0,0.0,0.0,42260,39,2018-04-24_23-57-29_job_42260_task_39,2,0.5,Boids,10,1,1,200,360,360,0.1,25,100,Unicycle,0.25,25,Unicycle,1.5,0.5,30,false,Predator,30
59,2,5.0,0.0,5.0,42260,39,2018-04-24_23-57-29_job_42260_task_39,2,0.5,Boids,10,1,1,200,360,360,0.1,25,100,Unicycle,0.25,25,Unicycle,1.5,0.5,30,false,Predator,30
60,1,0.0,0.0,0.0,42260,4,2018-04-24_23-57-29_job_42260_task_4,2,0.5,Boids,10,1,1,200,360,360,0.1,25,100,Unicycle,0.25,25,Unicycle,1.5,0.5,30,false,Predator,30
61,2,9.0,0.0,9.0,42260,4,2018-04-24_23-57-29_job_42260_task_4,2,0.5,Boids,10,1,1,200,360,360,0.1,25,100,Unicycle,0.25,25,Unicycle,1.5,0.5,30,false,Predator,30
62,1,0.0,0.0,0.0,42260,40,2018-04-24_23-57-29_job_42260_task_40,2,0.5,Boids,10,1,1,200,360,360,0.1,25,100,Unicycle,0.25,25,Unicycle,1.5,0.5,30,false,Predator,30
63,2,6.0,0.0,6.0,42260,40,2018-04-24_23-57-29_job_42260_task_40,2,0.5,Boids,10,1,1,200,360,360,0.1,25,100,Unicycle,0.25,25,Unicycle,1.5,0.5,30,false,Predator,30
64,1,0.0,0.0,0.0,42260,41,2018-04-24_23-57-29_job_42260_task_41,2,0.5,Boids,10,1,1,200,360,360,0.1,25,100,Unicycle,0.25,25,Unicycle,1.5,0.5,30,false,Predator,30
65,2,8.0,0.0,8.0,42260,41,2018-04-24_23-57-29_job_42260_task_41,2,0.5,Boids,10,1,1,200,360,360,0.1,25,100,Unicycle,0.25,25,Unicycle,1.5,0.5,30,false,Predator,30
66,1,0.0,0.0,0.0,42260,44,2018-04-24_23-57-29_job_42260_task_44,2,0.5,Boids,10,1,1,200,360,360,0.1,25,100,Unicycle,0.25,25,Unicycle,1.5,0.5,30,false,Predator,30
67,2,10.0,0.0,10.0,42260,44,2018-04-24_23-57-29_job_42260_task_44,2,0.5,Boids,10,1,1,200,360,360,0.1,25,100,Unicycle,0.25,25,Unicycle,1.5,0.5,30,false,Predator,30
68,1,0.0,0.0,0.0,42260,45,2018-04-24_23-57-29_job_42260_task_45,2,0.5,Boids,10,1,1,200,360,360,0.1,25,100,Unicycle,0.25,25,Unicycle,1.5,0.5,30,false,Predator,30
69,2,9.0,0.0,9.0,42260,45,2018-04-24_23-57-29_job_42260_task_45,2,0.5,Boids,10,1,1,200,360,360,0.1,25,100,Unicycle,0.25,25,Unicycle,1.5,0.5,30,false,Predator,30
70,1,0.0,0.0,0.0,42260,46,2018-04-24_23-57-29_job_42260_task_46,2,0.5,Boids,10,1,1,200,360,360,0.1,25,100,Unicycle,0.25,25,Unicycle,1.5,0.5,30,false,Predator,30
71,2,19.0,0.0,19.0,42260,46,2018-04-24_23-57-29_job_42260_task_46,2,0.5,Boids,10,1,1,200,360,360,0.1,25,100,Unicycle,0.25,25,Unicycle,1.5,0.5,30,false,Predator,30
72,1,0.0,0.0,0.0,42260,47,2018-04-24_23-57-29_job_42260_task_47,2,0.5,Boids,10,1,1,200,360,360,0.1,25,100,Unicycle,0.25,25,Unicycle,1.5,0.5,30,false,Predator,30
73,2,12.0,0.0,12.0,42260,47,2018-04-24_23-57-29_job_42260_task_47,2,0.5,Boids,10,1,1,200,360,360,0.1,25,100,Unicycle,0.25,25,Unicycle,1.5,0.5,30,false,Predator,30
74,1,0.0,0.0,0.0,42260,48,2018-04-24_23-57-29_job_42260_task_48,2,0.5,Boids,10,1,1,200,360,360,0.1,25,100,Unicycle,0.25,25,Unicycle,1.5,0.5,30,false,Predator,30
75,2,6.0,0.0,6.0,42260,48,2018-04-24_23-57-29_job_42260_task_48,2,0.5,Boids,10,1,1,200,360,360,0.1,25,100,Unicycle,0.25,25,Unicycle,1.5,0.5,30,false,Predator,30
76,1,0.0,0.0,0.0,42260,49,2018-04-24_23-57-29_job_42260_task_49,2,0.5,Boids,10,1,1,200,360,360,0.1,25,100,Unicycle,0.25,25,Unicycle,1.5,0.5,30,false,Predator,30
77,2,8.0,0.0,8.0,42260,49,2018-04-24_23-57-29_job_42260_task_49,2,0.5,Boids,10,1,1,200,360,360,0.1,25,100,Unicycle,0.25,25,Unicycle,1.5,0.5,30,false,Predator,30
78,1,0.0,0.0,0.0,42260,5,2018-04-24_23-57-29_job_42260_task_5,2,0.5,Boids,10,1,1,200,360,360,0.1,25,100,Unicycle,0.25,25,Unicycle,1.5,0.5,30,false,Predator,30
79,2,6.0,0.0,6.0,42260,5,2018-04-24_23-57-29_job_42260_task_5,2,0.5,Boids,10,1,1,200,360,360,0.1,25,100,Unicycle,0.25,25,Unicycle,1.5,0.5,30,false,Predator,30
80,1,0.0,0.0,0.0,42260,50,2018-04-24_23-57-29_job_42260_task_50,2,0.5,Boids,10,1,1,200,360,360,0.1,25,100,Unicycle,0.25,25,Unicycle,1.5,0.5,30,false,Predator,30
81,2,16.0,0.0,16.0,42260,50,2018-04-24_23-57-29_job_42260_task_50,2,0.5,Boids,10,1,1,200,360,360,0.1,25,100,Unicycle,0.25,25,Unicycle,1.5,0.5,30,false,Predator,30
82,1,0.0,0.0,0.0,42260,51,2018-04-24_23-57-29_job_42260_task_51,2,0.5,Boids,10,1,1,200,360,360,0.1,25,100,Unicycle,0.25,25,Unicycle,1.5,0.5,30,false,Predator,30
83,2,5.0,0.0,5.0,42260,51,2018-04-24_23-57-29_job_42260_task_51,2,0.5,Boids,10,1,1,200,360,360,0.1,25,100,Unicycle,0.25,25,Unicycle,1.5,0.5,30,false,Predator,30
84,1,0.0,0.0,0.0,42260,52,2018-04-24_23-57-29_job_42260_task_52,2,0.5,Boids,10,1,1,200,360,360,0.1,25,100,Unicycle,0.25,25,Unicycle,1.5,0.5,30,false,Predator,30
85,2,6.0,0.0,6.0,42260,52,2018-04-24_23-57-29_job_42260_task_52,2,0.5,Boids,10,1,1,200,360,360,0.1,25,100,Unicycle,0.25,25,Unicycle,1.5,0.5,30,false,Predator,30
86,1,0.0,0.0,0.0,42260,55,2018-04-24_23-57-29_job_42260_task_55,2,0.5,Boids,10,1,1,200,360,360,0.1,25,100,Unicycle,0.25,25,Unicycle,1.5,0.5,30,false,Predator,30
87,2,7.0,0.0,7.0,42260,55,2018-04-24_23-57-29_job_42260_task_55,2,0.5,Boids,10,1,1,200,360,360,0.1,25,100,Unicycle,0.25,25,Unicycle,1.5,0.5,30,false,Predator,30
